"orig.ident","Treatment","Cell_Annotation","Seurat_Clusters","UMAP_1","UMAP_2"
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.93130522577758,-1.63380070090207
"Vehicle","Vehicle_Tumor","Exhausted","2",-3.94590979425902,-3.1090942180148
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-6.34409552423949,3.73118917584506
"Vehicle","Vehicle_Tumor","Exhausted","2",1.02962094933991,-7.31265123248013
"Vehicle","Vehicle_Tumor","Naive","1",9.33853406102662,4.17553083539096
"Vehicle","Vehicle_Tumor","Naive","1",8.90792245061402,0.696551009417452
"Vehicle","Vehicle_Tumor","Effector_Memory","7",-7.49471169321532,0.0780718097099438
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-6.23006039469237,3.78314916730014
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-2.78188615648742,3.4520949566373
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-6.25950270502563,3.35891334652988
"Vehicle","Vehicle_Tumor","Naive","1",1.38776272923951,-8.684437826871
"Vehicle","Vehicle_Tumor","Exhausted","2",-3.06881647913451,-5.34407146334561
"Vehicle","Vehicle_Tumor","Effector_Memory","7",-2.11768275110717,7.87986843228427
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.74468952028747,-4.95255048632535
"Vehicle","Vehicle_Tumor","Better_Effector","3",-7.19314509241576,1.03759305119602
"Vehicle","Vehicle_Tumor","Effector_Memory","7",-8.23430615274901,0.770759209395327
"Vehicle","Vehicle_Tumor","Naive","6",7.57042473943238,4.62132303357212
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.65002995340819,-1.03100414633664
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.42617076246734,-6.372745589017
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.67374354212279,-1.57915003657254
"Vehicle","Vehicle_Tumor","Naive","1",6.43578976781373,-0.763455168007933
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.29520719854827,-6.68655450701626
"Vehicle","Vehicle_Tumor","Naive","1",6.42060965688233,-1.52059514880093
"Vehicle","Vehicle_Tumor","Naive","10",7.07879227788453,2.97068230748264
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-6.42533093302245,4.59804861188022
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.15076827614303,-5.35494621157559
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.766777749943686,-6.88991458773526
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.77712910978789,-6.91886861681851
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-5.83618241159911,4.69970409512607
"Vehicle","Vehicle_Tumor","Naive","10",6.77152604253297,2.9601504051694
"Vehicle","Vehicle_Tumor","Naive","6",7.73469990880494,4.00396935582248
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.18167048304076,-1.52845294833096
"Vehicle","Vehicle_Tumor","Better_Effector","3",-7.32086068003173,-0.976969913243376
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.67266112177367,1.29649333596317
"Vehicle","Vehicle_Tumor","Exhausted","2",0.171687368464517,-8.38074500918301
"Vehicle","Vehicle_Tumor","Effector_Memory","7",-0.816482391047431,4.89402095913974
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.01248007624145,0.67207376599399
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.833937968897772,-7.02295978426846
"Vehicle","Vehicle_Tumor","Naive","1",6.32473677785401,-2.28074605822476
"Vehicle","Vehicle_Tumor","Exhausted","2",-3.84081750719543,-4.01221664309414
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.41641860811706,-6.08501870989712
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.75206499903197,-0.658035234212004
"Vehicle","Vehicle_Tumor","Exhausted","5",-1.63141792623992,-5.31403215289029
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.44439678995605,-0.225197598933302
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.77584296076293,-0.249280974864088
"Vehicle","Vehicle_Tumor","Naive","6",8.92372101933961,4.19945876240817
"Vehicle","Vehicle_Tumor","Naive","6",9.18830937535768,3.473689957858
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.68932729570861,-5.96578796267422
"Vehicle","Vehicle_Tumor","Naive","6",8.57724732549195,4.40403978467075
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.49999385683532,-6.65478380083951
"Vehicle","Vehicle_Tumor","Exhausted","2",1.30036288888459,-9.04305656313809
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-2.55684810488219,-5.21302898287686
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.70930653421874,-1.21652717947873
"Vehicle","Vehicle_Tumor","Naive","1",8.27429932744508,0.402396469713129
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.85849457590575,-5.8254929339877
"Vehicle","Vehicle_Tumor","Better_Effector","3",-1.4105986913919,1.29407684445468
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.51124864428039,-6.03896673083218
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.745144482541037,-7.68199594378384
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.10124760477538,0.941739484072603
"Vehicle","Vehicle_Tumor","Naive","6",9.20159405858521,3.80067889332858
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.27184110491271,-6.08617360949429
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.03814249842162,-6.46634967684659
"Vehicle","Vehicle_Tumor","Naive","6",8.15394181401734,4.16202609181491
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-4.52950030176635,4.13034240841953
"Vehicle","Vehicle_Tumor","Naive","1",8.6197420993567,1.34255473256198
"Vehicle","Vehicle_Tumor","Naive","1",5.85254353673463,-1.90997846484097
"Vehicle","Vehicle_Tumor","Naive","1",8.95402688176637,1.39623801350681
"Vehicle","Vehicle_Tumor","Naive","6",7.51209372670655,4.93660871625034
"Vehicle","Vehicle_Tumor","Naive","6",9.59362763555055,3.78211061596958
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.5656062921762,-6.57246501803311
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.99030667154784,-2.04363544344815
"Vehicle","Vehicle_Tumor","Naive","1",0.959280435156869,-9.09023864626797
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.823759015488577,-6.68596799731167
"Vehicle","Vehicle_Tumor","Naive","6",7.53828114659791,3.23631827473728
"Vehicle","Vehicle_Tumor","Naive","1",6.09547824056153,-2.34417016863736
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-6.08948355524535,3.64444200635044
"Vehicle","Vehicle_Tumor","Exhausted","2",-3.05066829531188,-4.31619890093716
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-5.88795166819091,5.26006214261142
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.15617733805175,-6.02737577319058
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.61848945527072,-7.48554857134732
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.65716343729491,-6.55455072283658
"Vehicle","Vehicle_Tumor","Naive","6",8.99614972264771,4.30149404645053
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.31775289385314,-5.86641652941617
"Vehicle","Vehicle_Tumor","Exhausted","2",-4.08374243586059,-3.62482889056119
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.96815126745696,-5.96446950793179
"Vehicle","Vehicle_Tumor","Effector_Memory","4",0.383118752551126,2.29283563733188
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.98973875849242,-1.18097837328824
"Vehicle","Vehicle_Tumor","Naive","6",8.70082825810914,3.53697459340183
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.63711624948974,-0.902577832936369
"Vehicle","Vehicle_Tumor","Better_Effector","3",-3.12179213373656,0.119057393968977
"Vehicle","Vehicle_Tumor","Better_Effector","3",-5.44036370127196,-1.15948207735928
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.94112282602782,-6.58842761874112
"Vehicle","Vehicle_Tumor","Naive","6",8.87050789983277,3.75074975133029
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.44179421274657,-6.80741603732022
"Vehicle","Vehicle_Tumor","Naive","6",7.77173394353394,4.61007587552158
"Vehicle","Vehicle_Tumor","Effector_Memory","4",-6.18079167215819,4.23819105267612
"Vehicle","Vehicle_Tumor","Naive","6",9.58752507359986,3.90058438420383
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.23386174051757,-0.0160903042546138
"Vehicle","Vehicle_Tumor","Naive","1",6.85492438466554,-2.78647406458767
"Vehicle","Vehicle_Tumor","Naive","6",8.34838647038941,3.63988010525791
"Vehicle","Vehicle_Tumor","Effector_Memory","7",-2.40219598619933,5.8280772411832
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.34955578653808,-0.112944916485868
"Vehicle","Vehicle_Tumor","Naive","1",6.11410206944947,-1.63074024081143
"Vehicle","Vehicle_Tumor","Exhausted","2",-0.604449566292716,-7.91561038851651
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.91244393198485,-0.742337182759367
"Vehicle","Vehicle_Tumor","Naive","6",7.7598034778357,4.48113433957187
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.86205249636169,-4.75702102541836
"Vehicle","Vehicle_Tumor","Better_Effector","3",-3.66260557978149,-0.559134260415159
"Vehicle","Vehicle_Tumor","Naive","6",8.5459534564734,4.08819906354038
"Vehicle","Vehicle_Tumor","Naive","6",8.6633383670569,4.23809282422153
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.48088866083617,-1.47378619074734
"Vehicle","Vehicle_Tumor","Better_Effector","3",-3.98642545549865,-1.32994695067319
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.76792627184386,-5.2610021388522
"Vehicle","Vehicle_Tumor","Naive","6",9.51070756108766,3.74854533314792
"Vehicle","Vehicle_Tumor","Exhausted","2",-2.24398344366546,-5.99289520144375
"Vehicle","Vehicle_Tumor","Better_Effector","3",-4.5795143207788,-0.827661112546049
"Vehicle","Vehicle_Tumor","Exhausted","2",-1.13050281612868,-6.6940084254733
"Vehicle","Vehicle_Tumor","Better_Effector","3",-6.06280356256957,-1.65619070887478
